task,method,rew_final,rew_mean,wall_time_s,avg_opt_steps,avg_plan_time_s
gigahand_p36-tea,spider_original,-0.0419,-0.2800,754.3,32.0,44.4
gigahand_p36-tea,baseline,-2.0800,-1.8572,440.9,8.6,25.9
gigahand_p36-tea,cma_with_ref,-0.1745,-0.3906,538.4,32.0,31.7
gigahand_p44-dog,spider_original,-0.1058,-0.1276,644.2,32.0,37.9
gigahand_p44-dog,baseline,-1.0783,-1.0116,427.7,8.9,25.2
gigahand_p44-dog,cma_with_ref,-0.1581,-0.3755,735.8,32.0,43.3
gigahand_p52-instrument,spider_original,-0.0448,-0.0981,351.6,32.0,50.2
gigahand_p52-instrument,baseline,-1.2485,-1.2662,234.3,10.6,33.5
gigahand_p52-instrument,cma_with_ref,-0.0580,-0.1120,360.0,32.0,51.4
oakink_lift_board,spider_original,-0.0856,-0.0692,474.3,32.0,39.5
oakink_lift_board,baseline,-0.8805,-0.9265,386.7,8.9,32.2
oakink_lift_board,cma_with_ref,-0.2569,-0.2976,479.5,32.0,40.0
oakink_pick_spoon_bowl,spider_original,-0.7108,-0.4150,4855.4,32.0,59.2
oakink_pick_spoon_bowl,baseline,-1.6694,-1.7889,2263.1,7.4,26.0
oakink_pick_spoon_bowl,cma_with_ref,-0.2054,-0.4241,11911.6,32.0,145.3
oakink_pour_tube,spider_original,-25.6458,-11.4467,1305.2,32.0,50.2
oakink_pour_tube,baseline,-1.4078,-1.4830,1017.4,9.1,24.8
oakink_pour_tube,cma_with_ref,-0.4884,-0.4496,1392.5,32.0,53.6
oakink_stir_beaker,spider_original,-3.8499,-1.7220,1822.7,32.0,65.1
oakink_stir_beaker,baseline,-0.9933,-2453197568.0000,1138.8,11.7,39.3
oakink_stir_beaker,cma_with_ref,-0.1433,-0.1629,1559.1,32.0,55.7
oakink_uncap_alcohol_burner,spider_original,-4.2401,-1.6477,317.6,32.0,63.5
oakink_uncap_alcohol_burner,baseline,-1.5919,-1.5165,137.7,8.0,27.5
oakink_uncap_alcohol_burner,cma_with_ref,-0.1523,-0.2541,290.3,32.0,58.1
oakink_unplug,spider_original,-2.7099,-1.2292,417.0,32.0,52.1
oakink_unplug,baseline,-2.3150,-2.4452,362.7,6.1,18.1
oakink_unplug,cma_with_ref,-0.1109,-0.1248,585.9,32.0,73.2
oakink_wipe_board,spider_original,-0.1492,-0.0899,967.8,32.0,53.8
oakink_wipe_board,baseline,-1.9995,-2.0181,575.0,8.2,31.9
oakink_wipe_board,cma_with_ref,-0.1011,-0.0829,908.2,32.0,50.5
